"id","submitdate","lastpage","startlanguage","seed","ID","IT","POSTCARDIE1[SQ001]","POSTCARDPT1[SQ001]","POSTCARDPCH1[SQ001]","POSTCARDPCO1[SQ001]","POSTCARDIE2[SQ001]","POSTCARDPT2[SQ001]","POSTCARDPCO2[SQ001]","POSTCARDIE3[SQ001]","POSTCARDPT3[SQ001]","POSTCARDIE4[SQ001]","POSTCARDPCH2[SQ001]","POSTCARDPCO3[SQ001]","POSTCARDPT4[SQ001]","POSTCARDIE5[SQ001]","POSTCARDPCH3[SQ001]","POSTCARDPCO4[SQ001]","POSTCARDIE6[SQ001]","POSTCARDPT5[SQ001]","POSTCARDPCH4[SQ001]","POSTCARDIE7[SQ001]","POSTCARDPCH5[SQ001]","POSTCARDPCO5[SQ001]","POSTCARDFA1","POSTCARDFA2","POSTCARDFA3","POSTCARDPU1","POSTCARDPU2","POSTCARDPU3","POSTCARDAE1","POSTCARDAE2","POSTCARDAE3","POSTCARDRW1","POSTCARDRW2","POSTCARDRW3","CUBIE1[SQ001]","CUBEPT1[SQ001]","CUBEPCH1[SQ001]","CUBEPCO1[SQ001]","CUBEIE2[SQ001]","CUBEPT2[SQ001]","CUBEPCO2[SQ001]","CUBEIE3[SQ001]","CUBEPT3[SQ001]","CUBEIE4[SQ001]","CUBEPCH2[SQ001]","CUBEPCO3[SQ001]","CUBEPT4[SQ001]","CUBEIE5[SQ001]","CUBEPCH3[SQ001]","CUBEPCO4[SQ001]","CUBEIE6[SQ001]","CUBEPT5[SQ001]","CUBEPCH4[SQ001]","CUBEIE7[SQ001]","CUBEPCH5[SQ001]","CUBEPCO5[SQ001]","CUBEFA1","CUBEFA2","CUBEFA3","CUBEPU1","CUBEPU2","CUBEPU3","CUBEAE1","CUBEAE2","CUBEAE3","CUBERW1","CUBERW2","CUBERW3","LEAFLETIE1[SQ001]","LEAFLETPT1[SQ001]","LEAFLETPCH1[SQ001]","LEAFLETPCO1[SQ001]","LEAFLETIE2[SQ001]","LEAFLETPT2[SQ001]","LEAFLETPCO2[SQ001]","LEAFLETIE3[SQ001]","LEAFLETPT3[SQ001]","LEAFLETIE4[SQ001]","LEAFLETPCH2[SQ001]","LEAFLETPCO3[SQ001]","LEAFLETPT4[SQ001]","LEAFLETIE5[SQ001]","LEAFLETPCH3[SQ001]","LEAFLETPCO4[SQ001]","LEAFLETIE6[SQ001]","LEAFLETPT5[SQ001]","LEAFLETPCH4[SQ001]","LEAFLETIE7[SQ001]","LEAFLETPCH5[SQ001]","LEAFLETPCO5[SQ001]","LEAFLETFA1","LEAFLETFA2","LEAFLETFA3","LEAFLETPU1","LEAFLETPU2","LEAFLETPU3","LEAFLETAE1","LEAFLETAE2","LEAFLETAE3","LEAFLETRW1","LEAFLETRW2","LEAFLETRW3"
"55","1980-01-01 00:00:00","7","en","404834764","8","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","2","3","2","5","4","2","5","3","2","2","6","2","2","4","2","5","2","2","2","3","2","4","4","2","2","4","4","4","4","3","2","2"
"56","1980-01-01 00:00:00","7","en","1456406732","8","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3","6","4","6","5","3","6","2","6","2","5","3","3","6","6","6","3","4","5","3","4","5","5","5","4","4","3","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","1980-01-01 00:00:00","7","en","1813289488","8","A1","6","5","5","5","6","5","6","6","2","6","5","6","3","2","6","5","7","2","7","6","6","7","5","5","4","4","2","2","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","1980-01-01 00:00:00","7","en","1994626501","9","A1","4","5","5","3","5","5","3","5","4","5","6","4","3","6","5","4","5","3","5","5","5","5","3","4","3","2","2","2","3","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","1980-01-01 00:00:00","7","en","304050270","9","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","3","5","3","3","5","4","4","6","4","3","5","3","3","4","3","5","4","6","5","3","3","3","2","2","2","3","3","4","4","4","4"
"60","1980-01-01 00:00:00","7","en","1139251721","9","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","5","4","5","3","2","5","4","5","5","3","3","5","5","3","5","3","5","5","5","5","4","4","4","2","2","2","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","1980-01-01 00:00:00","7","en","1918441589","10","A1","5","4","6","3","6","5","2","6","4","7","4","3","3","5","3","3","4","5","5","5","4","7","3","3","2","3","3","2","4","3","3","4","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","1980-01-01 00:00:00","7","en","719478875","10","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","5","3","5","4","4","5","3","5","7","3","4","3","5","5","5","4","4","5","3","6","5","5","5","2","1","1","4","4","4","4","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","1980-01-01 00:00:00","7","en","1415585048","10","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","6","5","3","4","5","5","3","6","7","5","2","4","5","6","4","3","5","4","4","6","5","5","5","4","1","1","4","4","4","4","5","5"
"64","1980-01-01 00:00:00","7","en","1175966672","11","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","7","7","1","6","7","1","7","7","7","1","7","7","7","7","1","7","7","7","7","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","1980-01-01 00:00:00","7","en","221183933","11","A1","5","1","5","7","7","1","7","7","1","6","6","7","1","2","2","7","6","2","6","6","6","7","4","4","4","2","3","3","4","4","4","3","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","1980-01-01 00:00:00","7","en","633537332","11","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","4","6","4","1","5","4","3","4","4","4","3","4","4","4","4","3","4","5","4","5","3","3","3","3","2","2","3","3","3","2","3","3"
"67","1980-01-01 00:00:00","7","en","832230290","12","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","2","7","7","7","6","6","7","2","7","7","7","1","7","7","6","7","6","7","7","7","7","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","1980-01-01 00:00:00","7","en","1042446956","12","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","7","7","2","7","7","2","7","6","6","2","7","7","6","7","2","7","7","6","7","5","5","5","2","2","2","3","3","3","4","5","5"
"69","1980-01-01 00:00:00","7","en","1218108919","12","A1","7","2","7","7","7","2","7","7","2","7","6","7","2","7","7","7","7","2","6","7","6","7","5","5","5","2","3","2","3","3","3","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","1980-01-01 00:00:00","7","en","1559334108","13","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","5","4","3","3","4","4","3","4","4","3","3","3","3","5","3","2","4","3","3","2","2","2","3","4","3","3","2","2","2","4","4","3"
"71","1980-01-01 00:00:00","7","en","1435271046","13","A1","6","2","5","4","6","2","3","6","3","6","3","3","3","5","5","4","6","3","5","5","4","4","4","4","4","2","4","2","4","4","4","4","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","1980-01-01 00:00:00","7","en","2066752202","13","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","5","6","6","4","5","6","3","5","4","5","4","6","6","5","6","4","5","5","5","5","4","4","4","3","3","3","4","4","4","5","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","1980-01-01 00:00:00","7","en","1493818884","14","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","7","7","7","1","3","7","1","7","7","7","1","7","4","3","7","1","7","5","7","7","3","2","5","3","2","1","2","2","2","4","4","3"
"74","1980-01-01 00:00:00","7","en","1800718499","14","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","7","3","7","1","6","7","1","7","7","6","1","7","5","2","7","1","7","6","7","2","4","5","5","4","4","4","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","1980-01-01 00:00:00","7","en","1719541003","14","A1","3","1","7","2","4","1","2","3","5","2","7","4","1","4","3","2","2","1","7","3","3","1","2","5","5","4","5","4","2","2","1","1","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1980-01-01 00:00:00","7","en","265062210","15","A1","6","3","4","5","7","5","4","7","3","6","6","5","2","7","7","5","6","2","6","6","6","6","4","5","5","1","2","1","5","5","5","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","1980-01-01 00:00:00","7","en","1503172262","15","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","7","5","7","2","5","6","3","7","4","6","2","7","6","6","7","4","7","6","7","6","3","2","3","2","1","1","4","4","4","5","5","4"
"78","1980-01-01 00:00:00","7","en","2116295454","15","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","2","7","5","7","1","5","7","2","7","7","6","2","6","7","6","7","2","7","7","7","6","5","5","4","1","4","2","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","1980-01-01 00:00:00","7","en","219480602","16","A1","4","1","7","6","7","3","3","7","2","6","7","6","1","7","7","7","7","2","7","7","7","7","3","3","5","3","2","1","5","5","5","4","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","1980-01-01 00:00:00","7","en","138625935","16","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","1","3","7","1","7","7","6","7","7","7","6","7","1","7","7","7","5","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","","en","1840078979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","1980-01-01 00:00:00","7","en","391120467","16","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","7","7","5","1","5","7","1","7","7","6","1","6","7","7","7","1","7","7","7","7","5","2","5","3","1","1","3","5","3","5","4","5"
"83","1980-01-01 00:00:00","7","en","1338673395","17","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","7","7","5","5","7","1","7","1","5","5","7","6","6","7","5","7","7","6","7","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","1980-01-01 00:00:00","7","en","115025571","17","A1","7","1","7","7","7","1","6","6","1","7","7","7","5","1","7","6","7","5","7","7","7","7","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","1980-01-01 00:00:00","7","en","2016484422","17","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","7","7","1","7","7","2","7","7","1","1","7","1","7","7","1","4","7","7","7","5","5","5","1","5","1","5","5","5","5","5","5"
"86","1980-01-01 00:00:00","7","en","378159982","18","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","5","4","5","3","4","5","4","4","4","5","3","5","4","4","5","4","5","4","4","4","3","2","3","3","2","3","4","4","3","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","1980-01-01 00:00:00","7","en","1709921774","18","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","5","5","3","4","4","4","4","5","5","3","5","4","5","5","3","5","5","5","4","3","3","3","2","2","2","3","2","2","3","3","3"
"88","1980-01-01 00:00:00","7","en","63865120","18","A1","5","4","4","5","5","3","5","5","3","5","4","5","3","5","5","5","5","3","5","5","5","5","4","4","4","2","2","2","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","1980-01-01 00:00:00","7","en","1716880558","19","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","7","3","4","1","4","4","3","5","7","5","1","7","4","2","4","1","5","5","7","4","3","3","2","2","4","2","4","4","3","3","3","3"
"90","1980-01-01 00:00:00","7","en","1911058669","19","A1","6","1","7","6","6","2","3","6","2","6","7","4","1","7","5","5","6","1","6","7","7","6","5","5","4","1","1","3","5","5","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","1980-01-01 00:00:00","7","en","1383069500","19","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","6","6","1","3","6","2","7","7","4","1","7","5","7","7","1","7","7","7","6","4","4","4","1","1","3","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","1980-01-01 00:00:00","7","en","1383716838","20","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","4","4","4","1","4","5","4","5","3","4","1","4","4","4","5","1","7","4","4","4","3","2","1","4","3","1","3","3","3","3","3","3"
"93","1980-01-01 00:00:00","7","en","543611169","20","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","4","4","6","1","5","5","3","5","4","4","4","4","4","4","4","4","4","6","4","4","2","1","4","4","1","1","3","4","1","5","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","1980-01-01 00:00:00","7","en","1178070264","20","A1","5","1","4","4","6","1","4","6","1","6","3","4","1","6","6","4","5","1","4","6","3","4","3","3","3","1","1","1","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","1980-01-01 00:00:00","7","en","1875881248","21","A1","4","4","7","3","3","5","2","4","6","4","4","2","4","4","3","2","4","5","4","4","4","5","4","4","4","1","3","1","4","3","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","1980-01-01 00:00:00","7","en","913265194","21","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","6","5","5","5","4","3","4","5","4","4","6","4","4","5","4","4","5","4","6","5","4","4","4","1","1","1","4","4","3","4","4","3"
"97","1980-01-01 00:00:00","7","en","1492592837","21","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","5","4","5","5","4","6","4","5","4","4","5","7","4","4","5","4","4","5","7","6","5","5","5","1","2","1","4","4","4","4","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","1980-01-01 00:00:00","7","en","764355830","22","A1","6","2","6","6","6","6","6","6","2","6","6","6","2","7","6","6","6","2","6","6","7","7","4","4","4","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","1980-01-01 00:00:00","7","en","564569598","22","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","7","7","7","7","7","1","7","7","1","1","7","7","7","7","1","7","7","7","7","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","1980-01-01 00:00:00","7","en","303004382","22","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","6","4","1","6","5","4","3","3","5","6","2","2","5","4","1","3","4","3","5","4","1","4","5","1","1","4","1","3","5","5","4"
